Date,Open,High,Low,Close,Volume,OpenInt,SMA_5,SMA_10,SMA_20,SMA_30,EMA_12,EMA_26,RSI
2010-02-17,271.22,271.7,268.82,271.59,4059400,0,268.17200000000014,267.25999999999993,271.699,281.19366666666673,273.0618740167622,276.822410892687,35.07279507659423
2010-02-18,268.77,272.5,268.07,270.58,4673800,0,268.42800000000017,267.65399999999994,270.4835,279.73100000000005,272.76287793987035,276.4291488782208,38.42181001803629
2010-02-19,270.24,272.0,269.92,271.4,5106200,0,269.3000000000001,267.772,269.553,278.38400000000007,272.66510886932815,276.17351579807985,37.41737135076157
2010-02-22,273.6,273.75,270.73,267.54,4289200,0,269.7760000000001,268.491,268.50750000000005,277.2656666666668,272.492409166035,275.8826253699278,38.81586843424498
2010-02-23,271.58,271.82,266.16,265.74,5745200,0,270.74400000000014,269.067,268.3275,276.41066666666677,272.4024609743616,275.6529445657602,34.866119307169285
2010-02-24,267.2,269.15,265.26,263.21,4653200,0,270.1220000000001,269.14700000000005,268.2045,275.29500000000013,272.00424622012764,275.24307399082863,33.1710431406224
2010-02-25,263.38,264.24,260.0,263.4,6618400,0,269.3700000000001,268.899,267.931,274.1343333333335,271.49376966943515,274.7693606158813,30.897312518786947
2010-02-26,263.5,265.86,260.0,266.35,4098600,0,267.69400000000013,268.49699999999996,267.539,273.0666666666668,270.8217903581814,274.20043332334063,31.27828327917794
2010-03-01,265.04,266.64,263.88,270.53,4475800,0,266.25800000000015,268.017,267.352,272.0620000000001,270.2222510142858,273.675255934169,37.078556881142134
2010-03-02,267.51,272.83,267.51,272.66,8713600,0,265.24800000000016,267.996,267.42099999999994,271.1096666666668,269.910648987132,273.323141572891,44.25778350646848
2010-03-03,271.12,274.06,269.63,277.3,6178800,0,265.8460000000001,267.984,267.62199999999996,270.4606666666668,269.96031230365475,273.19034428787853,47.54233410028685
2010-03-04,273.1,278.06,273.1,282.1,6367600,0,267.23000000000013,268.29999999999995,267.9769999999999,269.75566666666674,270.176085554953,273.1653917451725,53.913108152446505
2010-03-05,280.69,283.8,279.98,281.24,7824400,0,270.0480000000001,268.871,268.3214999999999,269.3256666666668,270.7437620253884,273.35799537077014,59.40546505198193
2010-03-08,282.39,282.59,280.6,280.1,4772800,0,273.7880000000001,270.02299999999997,269.25699999999995,269.01266666666675,271.6462021606131,273.7613758752126,58.07017274825533
2010-03-09,279.92,282.3,278.26,288.23,6353200,0,276.7660000000001,271.00699999999995,270.0369999999999,269.2206666666668,272.40665327562505,274.1033465738527,56.26475599146354
2010-03-10,281.88,289.24,281.15,290.57,11309800,0,278.68000000000006,272.2629999999999,270.7049999999999,269.5573333333334,273.0150406688328,274.3751899091893,64.69485582832556
2010-03-11,287.46,293.06,287.3,289.71,8466600,0,281.79400000000004,274.5119999999999,271.7054999999999,270.12466666666677,274.2156455486997,274.99809589098777,66.68528730733865
2010-03-12,293.85,294.0,289.6,281.59,5506800,0,284.44800000000004,277.24799999999993,272.87249999999983,270.77533333333344,275.5036011027099,275.6926986444962,65.22975363245075
2010-03-15,283.17,284.68,278.0,282.6,9307800,0,285.9700000000001,279.8789999999999,273.94799999999987,271.52766666666673,276.6203549242107,276.31325945074315,53.38214916411985
2010-03-16,280.7,284.2,280.42,282.78,6863000,0,286.0400000000001,281.4029999999999,274.69949999999983,272.0816666666667,277.0103572106249,276.54518857368464,54.48940343703508
2010-03-17,283.93,285.7,282.14,283.2,6643200,0,286.5400000000001,282.60999999999996,275.2969999999999,272.61800000000005,277.44833445450985,276.8094884111192,54.69592632362139
2010-03-18,282.35,284.15,281.48,280.02,3554400,0,285.45000000000005,283.62199999999996,275.9609999999999,273.19200000000006,277.86550044724896,277.0683959995093,55.20670195205484
2010-03-19,283.4,284.0,278.64,278.75,9584800,0,283.97600000000006,284.2119999999999,276.54149999999987,273.61833333333345,278.2823379500827,277.33261743982945,50.55884680621836
2010-03-22,277.91,283.42,277.14,274.5,8009600,0,282.03800000000007,284.0039999999999,277.01349999999985,274.17266666666677,278.4179537409194,277.44772447260067,48.79211075242404
2010-03-23,278.75,279.11,271.03,278.67,11002600,0,281.4700000000001,283.75499999999994,277.38099999999986,274.60966666666684,278.4438392419426,277.50318265304855,43.334771909865786
2010-03-24,272.76,279.9,269.85,281.44,13130400,0,279.8500000000001,283.19499999999994,277.72899999999987,274.8683333333335,278.136705048574,277.37599603023335,49.32393335828743
2010-03-25,279.7,286.0,279.33,281.24,7861800,0,279.02800000000013,282.2389999999999,278.3754999999999,275.21666666666687,278.1781968576548,277.430508235393,52.88619608508305
2010-03-26,282.36,283.67,280.08,281.23,5392400,0,278.6760000000001,281.3259999999999,279.28699999999986,275.69033333333357,278.4317510407803,277.5985598277638,52.59869931957883
2010-03-29,281.41,282.3,280.29,283.35,6209000,0,278.92000000000013,280.4789999999999,280.17899999999986,276.12500000000017,278.6498715215983,277.7504444611422,52.58330738464894
2010-03-30,281.48,283.82,280.2,283.5,3955800,0,279.4160000000001,280.44299999999987,280.9229999999999,276.6140000000002,278.8501237344339,277.89490182875437,55.55280586982349
2010-03-31,282.52,284.86,281.48,284.4,6061600,0,281.18600000000015,280.5179999999999,281.5639999999999,277.03733333333355,279.19913296965314,278.1203660487464,55.7638964229187
2010-04-01,285.42,286.73,282.8,285.5,4205400,0,282.15200000000016,280.58999999999986,282.1059999999999,277.5040000000002,279.5324948608836,278.3417606210498,57.08097071374871
2010-04-05,285.63,287.43,284.5,284.11,3803000,0,282.74400000000014,280.7099999999999,282.4609999999999,277.9310000000002,279.90955564064404,278.5900603695766,58.69951080399905
2010-04-06,284.12,285.42,282.7,281.77,4120200,0,283.5960000000001,281.2579999999999,282.63099999999986,278.4283333333335,280.3423843171033,278.8721536231667,55.83414396324407
2010-04-07,283.35,284.33,280.93,283.74,5162000,0,284.17200000000014,281.7939999999999,282.7744999999999,278.8520000000002,280.6339384866833,279.085178113543,51.29468728435504
2010-04-08,281.66,284.92,280.08,283.11,3895000,0,283.8560000000001,282.5209999999999,282.85799999999983,279.32633333333354,280.72181124578265,279.1939751925531,54.6383890567423
2010-04-09,283.45,284.38,282.0,286.36,4113200,0,283.9040000000001,283.0279999999999,282.6334999999998,279.92633333333356,280.9551646024573,279.37755387510214,53.37638893972175
2010-04-12,283.68,287.0,283.38,293.38,4704800,0,283.6460000000001,283.1949999999999,282.2604999999998,280.5896666666669,281.12170181034685,279.5277759011084,58.678675957757804
2010-04-13,285.61,294.42,285.56,294.5,7824600,0,283.8180000000001,283.7069999999999,282.0929999999998,281.3550000000003,281.5263989084713,279.80187655440056,67.32310860516857
2010-04-14,296.0,296.17,292.02,297.65,6805400,0,285.67200000000014,284.9219999999999,282.6824999999998,282.25600000000026,282.44187082752586,280.3449410176228,68.45689767166994
2010-04-15,294.5,298.92,294.16,275.15,13523600,0,288.21800000000013,286.0369999999999,283.2774999999998,283.05500000000023,283.37285158885516,280.9094103450828,71.45657679856556
2010-04-16,281.5,284.4,274.82,275.05,24471000,0,291.0000000000001,287.4519999999999,284.0209999999998,283.8880000000002,284.474844101005,281.57509345431674,41.26808725212989
2010-04-19,274.5,276.98,272.5,277.52,7788000,0,289.4080000000001,286.52699999999993,283.61849999999976,283.81633333333355,283.7552879606721,281.3202970613117,41.1848076992599
2010-04-20,277.44,279.8,275.53,277.15,5954800,0,287.1460000000001,285.4819999999999,283.3699999999998,283.58133333333353,283.08370297116574,281.07228897904133,44.18111818160237
2010-04-21,278.37,280.12,276.1,273.53,4783000,0,283.97400000000005,284.8229999999999,283.3084999999998,283.45733333333357,282.65457716675934,280.9321384384968,43.82098027565977
2010-04-22,275.58,276.2,271.68,272.5,6561400,0,280.5040000000001,284.36099999999993,283.4409999999998,283.3590000000002,282.2300993434084,280.7832792380417,40.355037288605565
2010-04-23,274.0,274.64,271.14,265.82,4178800,0,275.6800000000001,283.34,283.1839999999998,282.86900000000026,281.55933106974345,280.4984624144023,39.40015337735684
2010-04-26,272.25,272.32,264.6,264.53,8737600,0,275.1500000000001,282.27899999999994,282.7369999999998,282.26666666666694,280.86098921693366,280.18508316969735,33.812228715128185
2010-04-27,264.47,269.1,263.64,264.6,7689400,0,273.3040000000001,280.22499999999997,281.9659999999998,281.4703333333336,279.70173718965935,279.6234636257751,32.843504724260995
2010-04-28,266.0,267.33,260.52,266.0,6812200,0,270.7060000000001,277.34,281.13099999999974,280.9016666666669,278.53258315968037,279.0345797876823,32.955753286254534
2010-04-29,266.67,268.24,263.44,262.72,6117800,0,268.1960000000001,274.34999999999997,280.19349999999974,280.30166666666696,277.459068371083,278.47251504518186,35.28550172915243
2010-04-30,265.64,268.83,262.72,265.3,4870800,0,266.6900000000001,271.18499999999995,279.31849999999974,279.7423333333336,276.57625217648115,277.9877725344627,32.44120450959673
2010-05-03,263.25,266.46,262.62,253.18,3715600,0,264.7340000000001,269.94199999999995,278.2344999999998,279.0596666666669,275.5088806316027,277.3954753542741,36.759427060875126
2010-05-04,263.26,263.26,252.1,254.88,12152600,0,264.6300000000001,268.967,277.2244999999998,278.5690000000002,274.7225580130312,276.92706705913184,27.777275690457884
2010-05-05,250.28,257.86,250.25,249.34,9133800,0,262.3600000000001,266.53299999999996,275.6779999999998,277.71666666666687,273.06344354929996,276.00899078188934,30.348118215398543
2010-05-06,254.38,258.74,230.0,246.57,9973200,0,260.41600000000017,264.3059999999999,274.33349999999984,277.0626666666668,271.66316317626377,275.1934550382208,26.97791894050181
2010-05-07,250.0,252.66,240.66,260.63,10178000,0,257.0840000000002,261.887,272.6134999999998,276.08500000000015,269.9442359524575,274.19711984946525,25.455744898576285
2010-05-10,257.05,261.38,256.4,254.52,8256000,0,253.85400000000013,259.294,270.7864999999998,274.92266666666677,268.1445160290689,273.13402697385686,43.027383615490955
2010-05-11,257.75,259.9,254.11,252.7,6645200,0,252.92000000000013,258.775,269.4999999999999,274.23566666666676,267.56597135758415,272.6535647376892,38.75237510007056
2010-05-12,255.83,255.95,251.0,255.44,7703600,0,253.1880000000001,257.774,267.5569999999999,273.3453333333335,266.5616258997022,271.9577552437283,37.555415538379215
2010-05-13,258.11,260.99,255.2,253.76,6651600,0,252.75200000000012,256.58399999999995,265.46699999999987,272.32366666666684,265.4945533793821,271.21979371116436,40.533371871534236
2010-05-14,254.52,255.0,248.12,253.98,8232000,0,253.97200000000015,255.52799999999996,263.35649999999987,271.3883333333335,264.72059486430305,270.615883381484,39.29595841892515
2010-05-17,253.39,254.17,249.18,249.18,5587600,0,255.41000000000017,254.63199999999998,262.2869999999999,270.3670000000002,263.8769375536973,269.9715850138799,39.55618523523642
