Date,Open,High,Low,Close,Volume,OpenInt,SMA_5,SMA_10,SMA_20,SMA_30,EMA_12,EMA_26,RSI
1962-02-13,6.1707,6.1793,6.0703,6.0624,314365,0,6.139099999999999,6.095639999999999,6.087299999999999,6.140153333333335,6.1128178305410845,6.123082304471538,43.01649999842139
1962-02-14,6.0703,6.0956,6.0538,6.0373,251493,0,6.13066,6.120659999999999,6.080174999999999,6.131236666666669,6.1092487361627015,6.12024754476072,42.56188197533481
1962-02-15,6.0624,6.0624,6.0373,6.0373,278438,0,6.11898,6.126539999999999,6.0776699999999995,6.120106666666669,6.105343506782044,6.1171916879524435,41.07650602988525
1962-02-16,6.0373,6.0624,6.0373,5.9703,269454,0,6.1022799999999995,6.115699999999999,6.073079999999999,6.1103666666666685,6.099707785019434,6.113036925875567,41.07650602988525
1962-02-19,6.0373,6.0624,5.9622,5.9787,341313,0,6.0756,6.100679999999999,6.068074999999999,6.104806666666668,6.094569172507409,6.109156316499423,37.07130860557306
1962-02-20,5.9787,6.0036,5.9787,5.9285,350294,0,6.035519999999999,6.087309999999998,6.060549999999999,6.100916666666668,6.084392058850391,6.102141216394254,37.888997572879816
1962-02-21,5.9787,6.0208,5.9285,5.9537,440112,0,6.017199999999999,6.073929999999999,6.0563649999999996,6.094803333333335,6.075779160228338,6.095987864827997,34.96496845785367
1962-02-23,5.937,5.9622,5.937,5.9285,350294,0,5.990419999999999,6.054699999999999,6.04801,6.086730000000002,6.063831876249953,6.087744466197532,37.569599460474265
1962-02-26,5.9537,5.9537,5.9201,5.937,359274,0,5.973699999999999,6.037989999999998,6.0442599999999995,6.077266666666669,6.054935317651245,6.081226475605581,36.01620592138725
1962-02-27,5.9285,5.9787,5.8952,5.9537,422149,0,5.951939999999999,6.013769999999998,6.0409299999999995,6.066406666666669,6.044761002727286,6.073885136833066,36.96297422901302
1962-02-28,5.937,5.9537,5.9119,6.0208,323350,0,5.945279999999999,5.990399999999998,6.043019999999999,6.055000000000003,6.0361200726633,6.067377061944767,38.8766275342287
