Date,Open,High,Low,Close,Volume,OpenInt,SMA_5,SMA_10,SMA_20,SMA_30,EMA_12,EMA_26,RSI
2010-02-17,117.0,117.13,115.55,118.08,8913604,0,118.53399999999999,118.00500000000002,120.71700000000003,123.99866666666668,120.91932584578379,122.38303711541275,35.028449004095236
2010-02-18,115.95,118.51,114.82,117.52,9796316,0,118.19000000000001,117.82400000000003,120.15200000000002,123.41233333333335,120.5324030241119,122.05687475646614,39.57001229024098
2010-02-19,117.83,119.09,117.0,118.01,7115310,0,118.33400000000002,117.72200000000002,119.76700000000001,122.85866666666668,120.32797496206742,121.8467922049857,38.64950855291584
2010-02-22,117.33,118.97,116.18,117.24,6806986,0,117.82000000000001,117.88000000000002,119.31200000000001,122.36766666666668,120.09540368008926,121.62177765555593,39.96549981789774
2010-02-23,118.01,119.25,116.51,119.72,7066220,0,117.49000000000001,117.94200000000001,119.14100000000003,121.96800000000002,119.9236930282885,121.43671735540956,38.56554580020835
2010-02-24,117.77,119.8,117.15,118.2,7389889,0,117.43200000000002,117.98300000000002,118.98750000000003,121.42533333333334,119.70391004898353,121.2246968070939,45.22114433027417
2010-02-25,118.29,118.34,115.85,118.4,9524339,0,118.11400000000003,118.15200000000002,118.99950000000001,121.07233333333333,119.70522122712167,121.14969002471499,42.20329169458147
2010-02-26,117.89,119.43,117.0,124.54,5713949,0,118.13800000000003,118.23600000000003,118.772,120.76733333333333,119.58311769650108,121.0045125174669,42.744722665538944
2010-03-01,118.85,124.66,117.53,125.53,13285874,0,118.31400000000004,118.06700000000005,118.3905,120.41033333333333,119.48754431416626,120.87786657252764,56.28418999279801
2010-03-02,125.0,127.35,124.8,125.89,12096663,0,119.62000000000003,118.55500000000004,118.34700000000001,120.31666666666666,119.89411801716285,121.0538999813693,58.00843746541927
2010-03-03,125.4,126.94,124.43,128.53,6434791,0,121.27800000000002,119.35500000000005,118.68000000000002,120.263,120.34603717929073,121.26671194037907,58.64716892219145
2010-03-04,125.89,128.85,125.57,128.91,7490229,0,122.51200000000001,120.31300000000006,119.06850000000001,120.20566666666667,120.78913987021325,121.48423628331366,63.082031566106785
2010-03-05,128.74,129.45,127.07,130.11,6769021,0,124.578,121.35800000000006,119.54000000000003,120.29733333333334,121.40597829387883,121.8124510870629,63.68572528033282
2010-03-08,128.3,130.85,127.71,128.82,5605222,0,126.67999999999999,122.49700000000007,120.18850000000002,120.37366666666667,122.00229640365608,122.13995181283839,65.59881190106813
2010-03-09,129.59,130.81,127.97,130.51,6069629,0,127.79400000000001,123.70700000000008,120.82450000000003,120.66300000000001,122.6449524553308,122.50439357395399,61.827993972596055
2010-03-10,128.68,131.17,128.48,133.58,5624051,0,128.452,124.86500000000008,121.42400000000005,120.94666666666669,123.13327323602984,122.79069584849329,64.69151484246987
2010-03-11,130.36,133.62,130.36,131.82,7233625,0,129.376,125.94400000000007,122.04800000000003,121.31433333333335,123.71536707916783,123.1377522642636,69.21007759124818
2010-03-12,134.04,134.2,131.18,131.13,6147768,0,130.38600000000002,127.48200000000006,122.85900000000001,121.67533333333336,124.49223716575494,123.603540775372,64.14222224437167
2010-03-15,131.72,132.0,128.63,131.79,6328960,0,130.96800000000002,128.82400000000004,123.44550000000001,121.86833333333335,125.06826682727285,123.96729214459889,62.21870128865902
2010-03-16,131.4,132.29,130.5,131.34,4132913,0,131.172,129.48300000000003,124.01900000000003,122.05900000000003,125.54397279036334,124.28211538354387,63.350831990351125
2010-03-17,132.45,132.69,131.22,132.76,4358719,0,131.766,130.10900000000004,124.73200000000001,122.4896666666667,126.03338112745908,124.6098436221117,61.98696099981246
2010-03-18,130.97,132.85,130.44,130.35,5023270,0,131.932,130.65400000000002,125.48350000000002,122.93033333333338,126.4485873910861,124.90169274280221,64.57844819183629
2010-03-19,133.64,133.71,129.66,130.47,8904925,0,131.76799999999997,131.07700000000003,126.21750000000002,123.38566666666671,126.94176082661414,125.24032081823069,57.42330921406775
2010-03-22,130.2,130.96,128.64,129.26,5372024,0,131.474,131.221,126.85900000000001,123.86600000000003,127.20775676689566,125.45918061800151,57.67477484303066
2010-03-23,130.68,130.94,128.07,128.04,4213507,0,131.34199999999998,131.257,127.482,124.30200000000004,127.46207314071098,125.67256935151589,54.19873544042358
2010-03-24,128.65,129.4,127.2,134.73,4703138,0,130.83599999999998,131.30100000000002,128.083,124.71633333333335,127.60209021082652,125.82449923440238,50.86970946422245
2010-03-25,129.23,136.91,128.04,135.06,16209512,0,130.176,131.05400000000003,128.499,125.05000000000001,127.63616079281573,125.91783112138828,63.94705826321952
2010-03-26,134.86,136.99,133.76,135.12,6566151,0,130.57,131.16900000000004,129.3255,125.629,128.18759585094358,126.28717943265393,64.44973150277855
2010-03-29,135.5,136.63,134.33,136.58,4626155,0,131.51199999999997,131.49300000000002,130.1585,126.128,128.7213847418631,126.65309417312533,64.54652048373862
2010-03-30,135.6,138.19,135.36,135.77,6191469,0,132.44199999999995,131.892,130.6875,126.64333333333335,129.21800220694345,127.0046065757616,66.90753389378686
2010-03-31,135.66,136.8,134.48,131.81,4597419,0,133.90599999999998,132.371,131.23999999999998,127.27833333333334,129.7889968449743,127.40036638461208,64.347259623172
2010-04-01,136.32,136.51,131.18,131.49,8772264,0,135.45199999999997,132.81400000000002,131.73399999999998,127.92699999999999,130.25258674653287,127.74481202374021,53.5571929950403
2010-04-05,132.8,133.74,130.78,135.56,5815209,0,134.868,132.719,131.89799999999997,128.38466666666667,130.3732316023631,127.91142563688443,52.786893434560106
2010-04-06,131.18,136.0,131.18,134.87,7922981,0,134.154,132.83300000000003,132.027,128.85033333333334,130.4596951026485,128.0575183293388,60.557208090093084
2010-04-07,135.94,136.08,133.86,140.96,5938021,0,134.242,133.342,132.2995,129.43533333333332,130.8543784472641,128.3626460897709,58.790666854066885
2010-04-08,135.0,141.25,134.71,140.06,12683710,0,133.89999999999998,133.903,132.60199999999998,130.023,131.1649811225608,128.62634369335845,67.73652427786854
2010-04-09,140.68,141.33,139.07,141.2,6008046,0,134.938,135.195,133.12449999999998,130.731,131.9222898000077,129.12440441050992,65.4744435395301
2010-04-12,139.92,142.91,139.68,140.16,5443372,0,136.58800000000002,135.728,133.4485,131.45966666666666,132.55121558100544,129.564535967689,66.978714908291
2010-04-13,141.23,141.98,139.12,144.28,4779793,0,138.53000000000003,136.342,133.91749999999996,132.21966666666665,133.21939784744927,130.03133685806546,64.22935111918767
2010-04-14,140.31,144.5,139.2,145.82,7881676,0,139.45,136.846,134.36899999999997,132.74033333333333,133.7554312707885,130.4364382724377,69.5600890830531
2010-04-15,144.3,147.09,144.0,142.17,7826782,0,141.332,137.616,134.99349999999998,133.36533333333333,134.5680093140351,130.9884858469294,71.28279398171597
2010-04-16,144.95,147.17,141.45,142.43,8396382,0,142.304,138.621,135.71749999999997,134.02966666666666,135.4365027362253,131.57825530305865,62.28551117611777
2010-04-19,142.37,143.67,139.13,144.2,6016692,0,142.72599999999997,139.657,136.18799999999996,134.4843333333333,135.95609633474362,131.9982862899384,62.64718341938622
2010-04-20,143.71,144.64,142.1,146.43,4306622,0,142.97199999999998,140.75100000000003,136.79199999999997,134.93499999999997,136.4555371969803,132.41089023624718,65.10080174082617
2010-04-21,145.0,149.0,143.52,150.09,7318353,0,143.78,141.61500000000004,137.47849999999997,135.40466666666663,137.05286398585895,132.87601289819196,67.95666639849094
2010-04-22,147.17,151.09,145.88,143.63,14854793,0,144.20999999999998,142.77100000000004,138.33699999999993,135.99166666666662,137.77596880644074,133.4094771580976,72.00571066361799
2010-04-23,145.2,149.09,142.42,147.11,18962945,0,145.064,143.68400000000003,139.43949999999995,136.64433333333326,138.7253673270241,134.06447655582625,58.060328040553884
2010-04-26,143.2,147.72,142.91,142.02,0,0,145.356,144.04100000000003,139.88449999999995,136.97933333333327,139.10344273257326,134.43925315123101,62.29652621205767
2010-04-27,145.34,146.44,141.11,139.35,8630222,0,146.292,144.63200000000003,140.48699999999997,137.48899999999995,139.7205309845416,134.9346306566931,53.74552835443508
2010-04-28,142.56,142.75,138.69,141.73,9229354,0,145.856,144.81800000000004,140.83199999999997,137.85199999999995,139.89773109238865,135.21107214134122,49.87794500448758
2010-04-29,140.05,142.45,139.79,137.1,6307712,0,144.44,144.32500000000002,140.97049999999996,138.10399999999996,139.85552804783367,135.37223688983568,53.11661490872571
2010-04-30,141.4,141.4,136.91,137.49,6102170,0,142.768,143.91600000000003,141.26849999999996,138.45033333333328,139.99993893204442,135.61933044245234,46.78347590931791
2010-05-03,137.42,139.44,136.11,129.83,5653402,0,141.46200000000002,143.40900000000002,141.53299999999996,138.59499999999994,139.77655152118282,135.67677146089474,47.352894222859426
2010-05-04,135.58,135.81,128.38,130.93,12651327,0,139.538,142.91500000000002,141.833,138.83299999999994,139.60043356618692,135.7469903868839,38.61363766434036
2010-05-05,128.0,131.61,127.55,128.71,9455975,0,137.10000000000002,141.478,141.54649999999998,138.81166666666658,138.847957112983,135.51823588455554,40.317076895971454
2010-05-06,129.95,132.33,120.6,124.98,10187838,0,135.416,139.928,141.34949999999998,138.86733333333325,138.2382068250471,135.34113938227273,38.023806271823744
2010-05-07,127.97,131.18,123.76,131.29,11936041,0,132.812,137.79000000000002,140.737,138.88966666666659,137.50451626442597,135.08558988228003,34.475527510307955
2010-05-10,129.94,132.21,129.26,130.46,6797131,0,130.388,135.925,139.983,138.5646666666666,136.54018008258285,134.69672630669888,43.99652273269888
2010-05-11,130.26,133.08,128.47,133.87,6041041,0,129.148,134.343,139.4875,138.4389999999999,136.135967263106,134.5658242106981,43.10919882709616
2010-05-12,131.0,134.13,129.68,131.47,5895134,0,129.274,133.18699999999998,139.0025,138.2836666666666,135.69900233473578,134.4082781623803,47.76984480297985
2010-05-13,133.68,136.99,131.0,128.53,5929841,0,129.862,132.63899999999998,138.482,138.19333333333324,135.5582051335186,134.38765122156457,44.977064829382826
2010-05-14,130.2,131.0,126.76,128.91,5273354,0,130.414,131.613,137.76449999999997,138.0499999999999,135.24351177469026,134.27598945060868,41.75652955732182
2010-05-17,127.85,129.95,125.8,126.28,5641703,0,131.12399999999997,130.756,137.08249999999998,137.94066666666654,134.72676032473007,134.05635506304733,42.3313047621224
2010-05-18,130.11,131.25,125.51,124.59,5240561,0,130.64799999999997,129.898,136.4065,137.85466666666656,134.279055334554,133.8598742723435,39.43098898245774
2010-05-19,125.5,127.93,123.8,119.71,6460003,0,129.81199999999995,129.543,135.5105,137.5453333333332,133.66341096208302,133.57081503809465,37.646068401583896
2010-05-20,122.3,125.0,118.78,122.72,8570637,0,127.95599999999997,128.909,134.41850000000002,137.20266666666654,132.96510822107794,133.22870644848834,33.00068107230361
2010-05-21,117.72,124.97,117.52,122.12,7966546,0,125.60399999999997,128.009,132.89950000000002,136.4943333333332,131.94501518255606,132.71427810239362,38.07631675001666
2010-05-24,122.34,124.5,120.65,124.86,4535832,0,124.44199999999998,127.78299999999999,131.85399999999998,135.91633333333323,131.23509713241566,132.33435111149112,37.467006495433985
2010-05-25,118.62,125.19,118.5,123.21,7107564,0,123.08399999999999,126.86599999999999,130.60449999999997,135.28033333333323,130.53366083408469,131.94643731825354,42.02923061737928
2010-05-26,125.09,125.79,122.3,126.7,6952890,0,122.8,126.30599999999997,129.7465,134.77033333333324,130.09706739564157,131.67756616044971,40.13051386228944
2010-05-27,124.98,126.85,120.6,125.46,4737157,0,122.524,125.23999999999997,128.9395,134.0679999999999,129.5671159593241,131.35658305600165,45.71653378509005
2010-05-28,125.95,127.6,124.01,123.24,3953851,0,123.922,124.76299999999996,128.188,133.43066666666655,129.34650055369076,131.18021776690145,44.140676526693454
2010-06-01,124.53,126.57,123.02,126.31,3650661,0,124.47,124.45599999999997,127.606,132.87366666666654,129.04745385801664,130.9637492140912,41.389908186475196
2010-06-02,123.9,126.43,121.65,128.76,4747392,0,124.694,123.88899999999997,126.89349999999999,132.23399999999987,128.6006092404698,130.67169689719697,46.36743579748806
2010-06-03,126.17,129.15,124.85,122.77,5272725,0,124.984,123.89199999999997,126.7175,131.63766666666655,128.42436578775286,130.50689908759566,50.01570783658396
2010-06-04,126.85,128.2,122.18,122.01,5467312,0,126.09399999999998,124.30899999999997,126.609,131.04866666666655,128.450189585026,130.4409452694883,42.418420267693236
2010-06-07,125.8,126.61,121.67,118.83,6558999,0,125.30799999999996,124.61499999999997,126.31199999999998,130.1379999999999,128.01316161669274,130.15153802279664,41.555925326578354
2010-06-08,121.86,122.0,115.8,117.91,11508385,0,124.61799999999997,124.54399999999995,126.1635,129.41733333333323,127.55129185422466,129.84458838996554,38.06805032981691
2010-06-09,120.3,121.47,117.36,123.21,7363130,0,123.73599999999996,124.21499999999996,125.5405,128.47466666666656,126.88030510746935,129.42959576207542,37.09793562302184
2010-06-10,119.56,123.5,119.2,123.03,6045279,0,122.05599999999995,123.51999999999998,124.91299999999998,127.67099999999988,126.1901694707242,128.9958535763631,45.68517490547065
2010-06-11,121.4,123.53,120.29,123.83,4203686,0,120.94599999999996,123.51999999999998,124.38,127.13299999999988,125.96089126745107,128.77813542898204,45.458197724372575
2010-06-14,124.49,125.7,123.5,126.84,3918871,0,120.99799999999996,123.15299999999998,123.95800000000001,126.50966666666656,125.73540686657502,128.56196464217777,46.725067512636386
2010-06-15,123.2,126.92,122.5,126.9,4539656,0,121.36199999999997,122.98999999999997,123.723,126.06733333333322,125.58881836871201,128.38411049705388,51.30778628051549
2010-06-16,125.59,127.98,125.36,125.89,3963663,0,122.96399999999997,123.34999999999995,123.61950000000002,125.71233333333323,125.68507446779962,128.32610586645544,51.3975349529173
2010-06-17,126.91,127.8,124.69,125.83,3476968,0,124.76199999999997,123.40899999999996,123.65050000000001,125.61466666666658,125.77854045857185,128.27256236209962,49.73568642591766
2010-06-18,126.02,127.48,125.07,122.55,3835586,0,125.29799999999996,123.12199999999999,123.71549999999999,125.44666666666657,125.78711513158609,128.1831538961736,49.63301859305327
2010-06-21,126.79,127.48,121.41,122.31,5311594,0,125.85799999999998,123.42799999999997,124.02149999999999,125.35066666666657,125.79041427381195,128.09489219031784,44.25484982055256
2010-06-22,122.64,125.23,121.55,121.45,6193108,0,125.60199999999995,123.48199999999997,124.013,125.26966666666658,125.54113028096913,127.88701316298902,43.880175289125816
2010-06-23,122.15,123.22,120.04,118.33,5453970,0,124.69599999999994,123.82999999999997,124.02250000000001,124.97033333333324,125.29256214083185,127.67802461697285,42.49191315028306
2010-06-24,120.78,120.85,116.8,121.0,7766031,0,123.60599999999995,124.18399999999997,123.852,124.6699999999999,124.99695885932242,127.4447423364048,37.81740734498142
